Section ID,Section
S01,Animals and their products
S02,Plant Products
S03,"Animal and vegetable fats, oils, waxex and their products"
S04,"Prepared foodstuffs, beverages and tobacco"
S05,Mineral Products
S06,Products of the chemical industries
S07,"Plastics, rubber and their articles"
S08,"Skins, leather and their articles, handbags and similar"
S09,"Wood, cork, plaiting materials and their articles"
S10,"Paper, paperboard and their articles"
S11,Textiles and their articles
S12,"Footwear, headgear, umbrellas, sticks"
S13,"Articles of stone, plaster, cement, ceramic, glass"
S14,"Precious stones or metals and their articles, jewelry"
S15,Base metals and their articles
S16,"Machinery and mechanical appliances, electrical equipment, parts thereof"
S17,"Vehicles, aircraft, vessels and associated transport equipment"
S18,"Optical, photographic, measuring, checking, medical instruments and apparatus; clocks and musical Instruments"
S19,Arms and Ammunition; Parts and Accessories Thereof
S20,Miscellaneous Manufactured Articles
S21,Works of arts and antiqes
